,"modelName","X","M","Y","IndEff_est","IndEff_SE","IndEff_95%CI-Lo","IndEff_95%CI-Hi","DirEff_b","DirEff_SE","DirEff_X_t","DirEff_X_p","DirEff_model_R^2","DirEff_model_R^2adj","DirEff_model_F","DirEff_model_df1","DirEff_model_df2","DirEff_model_p","aPath_b","aPath_SE","aPath_X_t","aPath_X_p","aPath_model_R^2","aPath_model_R^2adj","aPath_model_F","aPath_model_df1","aPath_model_df2","aPath_model_p","bPath_b","bPath_SE","bPath_X_t","bPath_X_p","bPath_model_R^2","bPath_model_R^2adj","bPath_model_F","bPath_model_df1","bPath_model_df2","bPath_model_p"
"1","med_revC_brain_vol_brainSegNoVent_t2_z_cog_digsub_cor_t2_z","crp_log_z","brain_vol_brainSegNoVent_t2_z","cog_digsub_cor_t2_z","-0.001587774","0.0005560278","-0.002677568","-0.0004979792","-0.019687","0.007504","-2.624","0.008708","0.1958","0.195","256.3","18","18952","<2.2e-16","-0.010524","0.003504","-3.003","0.00268","0.8315","0.8313","5194","18","18952","<2.2e-16","-1.810e-02","7.487e-03","-2.417","0.015642","0.1998","0.199","249","19","18951","<2.2e-16"
"2","med_noC_brain_vol_brainSegNoVent_t2_z_cog_fluidIntel_QsAttempted_t2_z","crp_log_z","brain_vol_brainSegNoVent_t2_z","cog_fluidIntel_QsAttempted_t2_z","-0.001086233","0.0004073136","-0.001884553","-0.0002879125","-0.006699","0.008157","-0.821","0.411526","0.04334","0.04243","47.54","18","18890","<2.2e-16","-0.010524","0.003504","-3.003","0.00268","0.8315","0.8313","5194","18","18952","<2.2e-16","-0.005606","0.008151","-0.688","0.491615","0.04523","0.04427","47.09","19","18889","<2.2e-16"
"3","med_noC_brain_vol_hippocamp_L_t2_z_cog_prospMem_timeDelay_t2_z","crp_log_z","brain_vol_hippocamp_L_t2_z","cog_prospMem_timeDelay_t2_z","-5.484196e-05","8.034745e-05","-0.0002123201","0.0001026361","-0.017813","0.005531","-3.221","0.001282","0.02747","0.02654","29.74","18","18952","<2.2e-16","0.006268","0.006687","0.937","0.348620","0.3855","0.3849","660.5","18","18952","<2.2e-16","-0.017758","0.005531","-3.211","0.001327","0.02758","0.0266","28.28","19","18951","<2.2e-16"
"4","med_noC_brain_vol_brainSegNoVent_t2_z_cog_fluidIntel_score_t2_z","crp_log_z","brain_vol_brainSegNoVent_t2_z","cog_fluidIntel_score_t2_z","-0.0008972012","0.0003519954","-0.001587099","-0.000207303","-0.038589","0.008104","-4.761","1.94e-06","0.06261","0.06172","70.09","18","18890","<2.2e-16","-0.010524","0.003504","-3.003","0.00268","0.8315","0.8313","5194","18","18952","<2.2e-16","-0.037686","0.008101","-4.652","3.31e-06","0.06389","0.06295","67.85","19","18889","<2.2e-16"
"5","med_noC_brain_vol_hippocamp_L_t2_z_cog_reactiontime_mean_t2_z","crp_log_z","brain_vol_hippocamp_L_t2_z","cog_reactiontime_mean_t2_z","-0.0002260881","0.0002539867","-0.0007238929","0.0002717166","0.020700","0.007992","2.590","0.00960","0.09983","0.09897","116.8","18","18952","<2.2e-16","0.006268","0.006687","0.937","0.348620","0.3855","0.3849","660.5","18","18952","<2.2e-16","0.020926","0.007988","2.620","0.008812","0.1006","0.09974","111.6","19","18951","<2.2e-16"
"6","med_noC_brain_vol_brainSegNoVent_t2_z_cog_matrix_cor_t2_z","crp_log_z","brain_vol_brainSegNoVent_t2_z","cog_matrix_cor_t2_z","-0.0009586553","0.0003683993","-0.001680705","-0.000236606","-0.015993","0.008004","-1.998","0.04571","0.09185","0.09098","106.5","18","18952","<2.2e-16","-0.010524","0.003504","-3.003","0.00268","0.8315","0.8313","5194","18","18952","<2.2e-16","-0.015034","0.008000","-1.879","0.06021","0.09329","0.09238","102.6","19","18951","<2.2e-16"
"7","med_noC_brain_vol_hippocamp_L_t2_z_cog_TMT_alphanumDuration_t2_z","crp_log_z","brain_vol_hippocamp_L_t2_z","cog_TMT_alphanumDuration_t2_z","-0.0001475695","0.000175569","-0.0004916784","0.0001965394","0.011898","0.007805","1.524","0.127445","0.1259","0.1251","151.7","18","18952","<2.2e-16","0.006268","0.006687","0.937","0.348620","0.3855","0.3849","660.5","18","18952","<2.2e-16","0.012045","0.007804","1.543","0.122735","0.1263","0.1254","144.2","19","18951","<2.2e-16"
"8","med_noC_brain_vol_brainSegNoVent_t2_z_cog_numMem_maxDigitRemem_t2_z","crp_log_z","brain_vol_brainSegNoVent_t2_z","cog_numMem_maxDigitRemem_t2_z","-0.0007420413","0.0003110299","-0.001351649","-0.0001324338","-0.030440","0.008220","-3.703","0.000213","0.05212","0.05122","57.9","18","18952","<2.2e-16","-0.010524","0.003504","-3.003","0.00268","0.8315","0.8313","5194","18","18952","<2.2e-16","-0.029698","0.008218","-3.614","0.000303","0.05298","0.05203","55.8","19","18951","<2.2e-16"
"9","med_noC_brain_vol_hippocamp_L_t2_z_cog_TMT_alphanumErrors_t2_z","crp_log_z","brain_vol_hippocamp_L_t2_z","cog_TMT_alphanumErrors_t2_z","-6.87073e-06","6.891862e-05","-0.0001419488","0.0001282073","-0.001321","0.006883","-0.192","0.84784","0.01746","0.01653","18.71","18","18952","<2.2e-16","0.006268","0.006687","0.937","0.348620","0.3855","0.3849","660.5","18","18952","<2.2e-16","-0.001314","0.006883","-0.191","0.84863","0.01746","0.01647","17.72","19","18951","<2.2e-16"
"10","med_noC_brain_vol_brainSegNoVent_t2_z_cog_PC_1_z","crp_log_z","brain_vol_brainSegNoVent_t2_z","cog_PC_1_z","-0.001748166","0.0006073427","-0.002938536","-0.0005577961","-0.016676","0.007554","-2.208","0.027284","0.2193","0.2186","295.8","18","18952","<2.2e-16","-0.010524","0.003504","-3.003","0.00268","0.8315","0.8313","5194","18","18952","<2.2e-16","-0.014928","0.007533","-1.982","0.047544","0.224","0.2232","287.9","19","18951","<2.2e-16"
